书名,价格,原价,作者,出版时间,出版社,简介
 见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋江人气作者 纵虎嗅花 催泪之作！）,¥42.30,['¥49.80'],['纵虎嗅花'],2023-01-01,北京联合出版有限公司,★ 晋江收藏量超35万、高口碑校园催泪之作！ 人气作者纵虎嗅花：晋江总积分近30亿、点击量破千万！ ★安静软糯小绵羊 江渡 清冷英俊学霸 魏清越 捉刀客同学，你才是给我写信的人，对吗？ 我一直静候佳音，期盼你的来信，知名不具。 ★ 他手里没有一件她的遗物， 不过，他想，他本身就是她的一件遗物，永远的遗物。 她是他青春里的图腾，他是图腾的祭品。 物换星移，春秋几度，她还是十六岁的模样。 愿再见，愿再见，愿再见。 ★随书附赠 人设珠光明信片 2、回忆底片、头像贴纸、QQ留言卡、信纸、双人海报
 龙族3黑月之潮・下,¥31.30,['¥36.80'],['江南'],2013-12-01,长江出版社,我们都是小怪兽，都将被正义的奥特曼，杀死！ 【逆命之主】【天谴之矛】【龙舞东京】【狂樱震怒】 樱花与怒火、旧事与幽灵、黑日与圣剑 王与王的战斗！不死不休！ 《知音漫客》周刊、《漫客小说绘》漫画 小说火热连载中！千万读者热烈追捧！ 所有人都在追看《龙族》 *经典的热血幻想小说，十年一遇，没有之一！ 神的诞生，将以万民的生命为祭祀！ 绘梨衣;路明非，小怪兽们的樱花之旅，浪漫满路！ 源稚女;源稚生，双生兄弟的宿命之绊，血染红井！ 橘政宗;王将，黑天鹅港的亡命之魂，不死不休！ 即使是天下之恶，复仇的魔鬼，也会被悲哀吞没。
 苍穹山记全二册 墨香铜臭 手写出版后记+手写印签+惊喜印签绘 精装书盒典藏版 墨香铜臭 原名人渣反派自救系统 洛冰河×沈,¥108.00,['¥117.00'],['墨香铜臭'],2025-10-30,广东旅游出版社,★墨香铜臭，全球知名畅销作家，著有《人渣反派自救系统》《魔道祖师》《天官赐福》，晋江专栏收藏数超170万，作品横跨四大洲翻译出版美、日、韩、德、法、俄、越、泰、巴等十多个版本，多次创下国内作品的海外销售记录。其作品风格浪漫，情感强烈，独具个性，令万千读者极具共鸣，久久不忘，引发海内外阅读热潮。 ★《苍穹山记：全二册》（晋江原名：《人渣反派自救系统》）晋江文学城平台积分超200亿，收藏超100万，首章点击超200万，霸王票全站第五。 ★全新修订，重磅推出！实体书新增超两万字全新番外+作者手写出版后记+前环衬作者手写印签+后环衬作者手写惊喜印签绘。典藏精装书盒+裸脊锁线硬壳精装，随书附赠精美周边，极具收藏价值！ ★洛冰河 沈清秋，世人流传的故事已经结束。而你我之间的故事，才刚刚开始。
 为你而名（全2册）【双亲签+印特+刷边+烫镭射银函套典藏版】崖生涅��重启之作！难以逾越的经典人鱼故事。,¥102.60,['¥102.60'],['崖生', '欣梦享'],2022-05-01,,超级畅销书《为你而名》（网络原名《德萨罗人鱼》）刷边典藏版惊艳来袭，极光刷边设计 烫镭射银函套设计，绝美典藏。 全新亲签 印特签，共4款，随机掉落2款。 全新绘制绝美CP图，人鱼首领气势全开 人鱼后裔精致美好。 4.难以逾越的经典人鱼故事。灿烂盛大的人鱼传说，张力满满的人鱼较量。 赠品丰厚： 全新增加 归去 大海报*1 亚特兰蒂斯 梦幻海报*1 亚特兰蒂斯 飞鱼时空海报*1 召唤 镭射票*1 归宿 镭射票*1， 5寸人物lomo卡*4， 为你而名 明信片*2
 河清海晏 （ 知乎24W高赞、15000+评论热议、200万读者含泪力荐！ 周海晏，你去守护世间的海晏河清，我来守护你！,¥29.90,['¥39.80'],['橘子不酸', '嘉树文化'],2024-04-30,台海出版社,★ 知乎24W高赞、15000 评论热议、200万读者含泪力荐 ★ 2023知乎盐言故事年度影响力作品 2024年知乎三绝票选第二名 盐汽榜霸榜作品，口碑炸裂，人气神作 ★ 一部苦到极致、甜进骨子里的治愈成长史 一段动人心弦、痛彻心扉的旷世绝恋 ★ 子承父业缉毒警VS身世飘零女学生 刻骨铭心旷世绝恋 义无反顾家国情怀 全书无一句 我爱你 ，却处处弥漫刻骨之爱 ★ 细节满满！没有人可以平静地合上这本书 周海晏生日是6月26日 周海晏警号是013626 国际禁毒日是6月26日 男主角周海晏，女主角唐河清，书名《河清海晏》 谨以此书，向所有一线奋战的缉毒警及相关工作人员致敬 ★ 动人心弦，痛彻心扉！没有人可以不流泪看完这本书 周海晏：
 我依然心系于你【当当定制ins透卡】新锐人气小说家天崎弥理特成名作,¥36.40,['¥42.80'],['天崎弥理特', '芙莱伊', '酷威文化'],2025-05-01,江苏凤凰文艺出版社,力压八目迷！第十六届 这本轻小说真厉害！ 榜单作品！新锐人气小说家天崎弥理特成名作！ 天才与庸才的双向奔赴 即便远隔千山万水，她依旧在向我呐喊。我的灵魂渴望着，再次站到她身边。 青春兜转的破镜重圆 让我们回到共同逐梦的岁月吧，不是作为青梅竹马，而是作为恋人。 死而后生的重拾希望 我想为了那些珍视我的人活下去。我要用尽一切办法，抢回丢掉的青春。 若生命短暂如冬花，你是我对抗命运的勇气。 随书附赠：心系于你人物卡*1 心声播放卡*1 学生证*2 音乐祭门票*1
 陪安东尼度过漫长岁月 全六册 加赠亲签明信片 当当自营,¥273.60,['¥288.00'],['安东尼'],2024-01-01,湖南文艺出版社,赠品： 1. 故事开始的地方 echo 全新艺术装饰画 2.304P陪安笔记本、印签纪念信 ★治愈系天花板，20年的真实故事分享，温柔又有力量。 ★关于友情、爱情、成长和自我，总能找到共鸣。 ★记录生活中的美好点滴，字里行间都写满了爱。 ★金句俯拾皆是，随手一翻都妙不可言。 ★跟随作者领略生活的冷暖，收获面对生活的勇气和力量。 ★机灵、轻巧的文字，让你觉得：原来我还可以这样想？原来我还能过这样的生活？ ★在充满内卷的时代，太需要这样一本温和的书了。 ★读安东尼的书，像收到远方朋友的来信。 ★20年，他始终在这里，温暖着，陪伴着，鼓舞着。 ★读完觉得很踏实，每一句都想背下来。 ★全新设计，装帧精美，充满爱意与温暖，超适合收藏或送朋友！
 我依然心系于你完结篇【当当定制并肩前行折立贺卡】新锐人气小说家天崎弥理特成名作,¥36.40,['¥42.80'],['天崎弥理特', '酷威文化'],2025-07-01,江苏凤凰文艺出版社,第十六届 这本轻小说真厉害！ 榜单作品！新锐人气小说家天崎弥理特成名作！感动无数读者的纯爱小说！ 以爱情抗争无望的命运 这是我和阿修人生中第二十一个冬天。这是ZUI幸福，幸福到随时可能消失的季节。 以回忆挽留无果的暗恋 好像回到了无法忘怀的学生时代。在寒冷的冬日，一次又一次地怦然心动。 以热诚拥抱挚爱的世间 我想守住旅名川为数不多的生机，我希望能够和你，和你们一起做。 在注定无果的冬夜里，我曾为了爱情一往无前 随书附赠：打卡牌*1 SAYANE爱豆小卡*1 名场面定格卡*1 冬季盛会邀请函*1 暗恋心事纸条*1
 小清欢【印特签版+当当定制贴纸】,¥42.80,['¥42.80'],['云拿月', '酷威文化'],2023-04-01,江苏凤凰文艺出版社,超人气作家云拿月经典口碑代表作，全新修订版，新增出版番外《似此星辰非昨夜》《晓看天色暮看云》。 明媚阳光 齐欢 清冷腹黑 陈让，双向救赎 久别重逢 情有独钟，电影不是爱情，我们才是。 那一年的齐欢一往无前，她教会陈让什么是爱情。他听了信了，从那时一直信到现在。今后，也将永远相信。 精美双封，烫金工艺，质感颜值双双在线，超值收藏。 随书附赠：清欢电影胶片 眷恋海报 Q萌异形书签 禾佳电影票 电子赠品。
 红：陪安东尼度过漫长岁月Ⅰ 全新典藏版,¥45.60,['¥48.00'],['安东尼'],2024-01-01,湖南文艺出版社,★拥有全世界最多的朋友！ 跨越20年的真实故事，生活记录系列 2005 2024 SOMETHINGNEW 真实故事 | 生活记录 | 刻下记号的瞬间 | 漫长岁月的陪伴 回望二十年的时间 虽不能说 感觉就在昨天 但总感觉 只要伸长胳膊就能触摸到 所谓的漫长岁月 都在你们的陪伴中 无声地 却又风驰电掣地度过了 ★ 颜控不能错过的一套书！！ 用心装帧 精品打造：双封 护封双面印刷，可翻转折叠成新封面 同色系锁线裸背脊 ★ 不讲大道理！不是聪明书！这本书像一个拥抱，温柔且长久地陪伴着你！ 这本书没有什么大道理 好像也没有能帮你加持打怪的工具 或许你在阅读的过程里 一些温柔会浮上水面 希望这种温柔可以一直陪伴 保护着你
 河清海晏 印特签刷边版（ 2种刷边版本随机发货，随书赠品！口碑炸裂、人气神作，知乎现象级BE言情作品，200万读者含泪力,¥29.90,['¥39.80'],['橘子不酸'],2024-04-01,台海出版社,★ 畅销50万册作者印特签刷边收藏版 两种刷边版本随机发货，随书赠送明信片 3、工作证 2、票根 2、书签 1 ★口碑炸裂、人气神作、知乎现象级BE言情作品 2024年知乎三绝：58W喜欢、16.8W弹屏、9600W阅读，200W读者含泪力荐！ ★双向奔赴、催泪治愈 一部苦到极致、甜进骨子里的治愈成长史 一段动人心弦、痛彻心扉的旷世绝恋 ★子承父业缉毒警 VS 身世飘零女学生 刻骨铭心旷世绝恋 义无反顾家国情怀 全书无一句 我爱你 ，却处处弥漫刻骨之爱 ★细节满满！没有人可以平静地合上这本书 周海晏生日是6月26日 国际禁毒日是6月26日 周海晏警号是013626 谨以此书，向所有缉毒警及相关工作人员致敬!
 夜幕之下全套1-12 三九音域 我在精神病院学斩神 青春文学畅销实体书 磨铁图书正版,¥,,[],,,
 砂上的微小幸福 当当定制窗外的世界拍立得 继末日时在做什么之后超人气作家枯野瑛催泪新作,¥36.40,['¥42.80'],['枯野瑛', '未澄', '酷威文化'],2025-10-01,春风文艺出版社,继《末日时在做什么？》之后，超人气作家枯野瑛催泪新作！ 青年间谍 未知生物，在逆境中点燃希望之火，在废墟中开出幸福之花，两个孤独灵魂互相救赎的纯爱物语。 即使在ZUI黑暗的境地里，那些如同砂砾般微小的幸福也是生命价值的定义。 这短短数日的每分每秒，都有她爱过的痕迹。 随书附赠：安全屋ID卡*2 献给阿尔吉侬的花束 镂空卡*1
