排名,上映年份,电影名称,票房
158,2024,志愿军：存亡之战,120667.7
159,2024,危机航线,30040.8
160,2024,浴火之路,46193.9
161,2024,熊猫计划,30740.8
162,2002,哈利·波特与魔法石,32452.8
163,2024,只此青绿,5190.3
164,2024,749局,37571.9
165,2024,绑架游戏,1615.7
166,2024,新大头儿子和小头爸爸6,2822.7
167,2024,爆款好人,2714.2
168,2024,小丑2：双重妄想,5409.1
169,2024,名侦探柯南：百万美元的五棱星,28600.1
170,2003,哈利·波特与密室,9733.4
171,2024,今年二十二,601.7
172,2024,角斗士2,3968.4
173,2024,蓦然回首,5380.7
174,2024,毒液：最后一舞,68439
175,2024,小倩,1279.6
176,2024,鸳鸯楼·惊魂,12901.4
177,2024,爆裂鼓手,341.8
178,2024,魔法坏女巫,1464
179,2024,孤星计划,10205.8
180,2024,焚城,25879.3
181,2024,这个杀手不太冷,1736.9
182,2024,好东西,71324
183,2024,蜡笔小新：我们的恐龙日记,12671
184,2024,完美的日子,300.7
185,2024,乔妍的心事,15131.8
186,2024,因果报应,7834.5
187,2024,海洋奇缘2,11170.3
188,2024,破·地狱,21035（至1-31）
189,2024,雄狮少年2,8045（至1-31）
190,2024,狮子王：木法沙传奇,12298.1
191,2024,猎人克莱文,1310.9
192,2024,名侦探柯南：迷宫的十字路口,14718（至1-31）
193,2024,误判,27064（至1-31）
194,2024,小小的我,76536.4
195,2024,误杀3,93007（至1-31）
196,2024,窗前明月，咣！,3975.3
197,2024,“骗骗”喜欢你,44393.1
